n;t
10;6.2e-07
9;4.7e-07
10;5.4e-07
10;4.9e-07
10;5.3e-07
10;5.4e-07
10;5e-07
10;4.9e-07
10;5.4e-07
10;5.3e-07
10;4.8e-07
10;4.7e-07
10;5.1e-07
10;5.8e-07
10;4.7e-07
9;5e-07
9;5.2e-07
9;5e-07
9;5.1e-07
9;6e-07
9;5.9e-07
10;5.1e-07
10;5e-07
10;5.2e-07
10;5.1e-07
10;4.8e-07
10;5.4e-07
9;5.3e-07
10;5.3e-07
10;5.1e-07
10;5.4e-07
9;4.9e-07
10;5.2e-07
9;5.6e-07
10;5.1e-07
9;5e-07
10;5.2e-07
10;5.2e-07
10;5e-07
10;5.8e-07
10;5.3e-07
10;4.89e-07
10;4.4e-07
10;5.2e-07
9;5.2e-07
10;4.7e-07
9;5.1e-07
9;5.3e-07
10;4.9e-07
10;5e-07
10;5.1e-07
10;5e-07
10;5.2e-07
10;5e-07
9;5e-07
10;5.2e-07
10;4.6e-07
10;5.2e-07
10;6e-07
9;5.2e-07
10;5.3e-07
10;5.4e-07
10;5.8e-07
10;5.4e-07
10;4.9e-07
10;5.5e-07
10;4.9e-07
10;5e-07
10;5.1e-07
10;5.2e-07
10;5.1e-07
10;5.2e-07
10;5.5e-07
10;5.4e-07
10;5e-07
10;4.9e-07
10;9e-07
9;5.8e-07
10;5.6e-07
10;5.5e-07
10;5.4e-07
10;5.6e-07
10;6.9e-07
10;6.1e-07
9;1.43e-06
10;1.21e-06
10;1.8e-06
10;1.1e-06
10;6.7e-07
9;6.6e-07
10;6.7e-07
9;6.2e-07
10;8e-07
10;5.9e-07
10;7.6e-07
10;7.1e-07
10;6.4e-07
10;6.6e-07
10;6.7e-07
10;6.6e-07
10;6.9e-07
10;6.5e-07
10;7e-07
10;7e-07
9;6.6e-07
10;6.7e-07
10;6.5e-07
10;7.9e-07
10;6.5e-07
10;7.09e-07
10;6.5e-07
10;6.5e-07
10;7.7e-07
10;6.5e-07
9;7e-07
10;6.4e-07
10;6.8e-07
10;6.2e-07
10;6.69e-07
10;7.1e-07
9;6.6e-07
9;7.3e-07
10;7.7e-07
9;7.2e-07
10;1.27e-06
10;9.8e-07
10;5e-07
10;6e-07
10;7.7e-07
9;7.9e-07
9;8e-07
10;8.4e-07
10;8.1e-07
10;8.3e-07
10;8.9e-07
9;9.3e-07
10;8.5e-07
10;8.8e-07
10;8e-07
10;7e-07
10;6.4e-07
10;6.3e-07
10;7.5e-07
9;6.6e-07
9;5.3e-07
10;8.5e-07
10;6e-07
10;5.6e-07
10;4.8e-07
10;7.9e-07
10;5.4e-07
10;5.5e-07
10;5.3e-07
10;6.5e-07
10;5.2e-07
10;5.5e-07
10;5.4e-07
10;4.9e-07
10;5.6e-07
10;6e-07
10;5.5e-07
10;5.6e-07
10;5.2e-07
10;5.3e-07
10;5.7e-07
9;5.6e-07
10;5.2e-07
10;5.3e-07
10;5.3e-07
10;1.08e-06
10;8.8e-07
10;8.6e-07
10;9.4e-07
10;8.9e-07
10;8.7e-07
10;9.5e-07
10;9.1e-07
10;8.8e-07
10;9e-07
10;9.2e-07
10;9.2e-07
10;9.1e-07
10;9.4e-07
10;8.1e-07
10;8.6e-07
10;8.5e-07
10;8.4e-07
10;8.5e-07
10;9.5e-07
10;8.7e-07
10;8.9e-07
10;8.6e-07
10;8.3e-07
10;8.9e-07
10;8.2e-07
10;8.4e-07
10;8.9e-07
10;8.8e-07
10;9.3e-07
9;1.2e-06
10;6.4e-07
10;5.4e-07
10;5.6e-07
10;5.4e-07
10;5.4e-07
9;5.4e-07
10;5.4e-07
10;5.7e-07
10;5.2e-07
10;5.5e-07
9;5.5e-07
9;5.5e-07
10;5.7e-07
10;5.7e-07
10;6e-07
10;5.4e-07
10;5.8e-07
10;6.2e-07
10;5.5e-07
10;5.7e-07
10;5e-07
10;5.6e-07
10;5.6e-07
10;6.9e-07
10;5.4e-07
9;5.2e-07
9;5.6e-07
10;5.6e-07
10;5.1e-07
10;5.9e-07
10;5.6e-07
10;5.5e-07
10;5.2e-07
10;5.5e-07
10;5.4e-07
10;5.2e-07
10;6.7e-07
10;8e-07
10;4.8e-07
10;4.6e-07
10;5e-07
10;4.6e-07
10;1.62e-06
10;6.3e-07
10;5.6e-07
10;5.5e-07
10;5.4e-07
10;5.5e-07
10;6.1e-07
10;5.1e-07
10;5.2e-07
10;6.6e-07
10;5.6e-07
10;5.2e-07
10;5.2e-07
10;5.2e-07
10;5.5e-07
10;5.2e-07
